Data,Último
14.09.2021,116.181
13.09.2021,116.404
10.09.2021,114.286
09.09.2021,115.361
08.09.2021,113.413
06.09.2021,117.869
03.09.2021,116.933
02.09.2021,116.677
01.09.2021,119.396
31.08.2021,118.781
30.08.2021,119.74
27.08.2021,120.678
26.08.2021,118.724
25.08.2021,120.818
24.08.2021,120.211
23.08.2021,117.472
20.08.2021,118.053
19.08.2021,117.165
18.08.2021,116.643
17.08.2021,117.904
16.08.2021,119.18
13.08.2021,121.194
12.08.2021,120.701
11.08.2021,122.056
10.08.2021,122.202
09.08.2021,123.019
06.08.2021,122.81
05.08.2021,121.633
04.08.2021,121.801
03.08.2021,123.577
02.08.2021,122.516
30.07.2021,121.801
29.07.2021,125.675
28.07.2021,126.286
27.07.2021,124.612
26.07.2021,126.004
23.07.2021,125.053
22.07.2021,126.147
21.07.2021,125.929
20.07.2021,125.401
19.07.2021,124.395
16.07.2021,125.96
15.07.2021,127.468
14.07.2021,128.407
13.07.2021,128.168
12.07.2021,127.594
08.07.2021,125.428
07.07.2021,127.019
06.07.2021,125.095
05.07.2021,126.92
02.07.2021,127.622
01.07.2021,125.666
30.06.2021,126.802
29.06.2021,127.327
28.06.2021,127.429
25.06.2021,127.256
24.06.2021,129.514
23.06.2021,128.428
22.06.2021,128.767
21.06.2021,129.265
18.06.2021,128.405
17.06.2021,128.057
16.06.2021,129.259
15.06.2021,130.091
14.06.2021,130.208
11.06.2021,129.441
10.06.2021,130.076
09.06.2021,129.907
08.06.2021,129.787
07.06.2021,130.776
04.06.2021,130.126
02.06.2021,129.601
01.06.2021,128.267
31.05.2021,126.216
28.05.2021,125.561
27.05.2021,124.367
26.05.2021,123.989
25.05.2021,122.988
24.05.2021,124.032
21.05.2021,122.592
20.05.2021,122.701
19.05.2021,122.636
18.05.2021,122.98
17.05.2021,122.938
14.05.2021,121.881
13.05.2021,120.706
12.05.2021,119.71
11.05.2021,122.964
10.05.2021,121.909
07.05.2021,122.038
06.05.2021,119.921
05.05.2021,119.564
04.05.2021,117.712
03.05.2021,119.209
30.04.2021,118.894
29.04.2021,120.066
28.04.2021,121.053
27.04.2021,119.388
26.04.2021,120.595
23.04.2021,120.53
22.04.2021,119.371
20.04.2021,120.062
19.04.2021,120.934
16.04.2021,121.114
15.04.2021,120.701
14.04.2021,120.295
13.04.2021,119.297
12.04.2021,118.812
09.04.2021,117.67
08.04.2021,118.313
07.04.2021,117.624
06.04.2021,117.499
05.04.2021,117.518
01.04.2021,115.253
31.03.2021,116.634
30.03.2021,116.85
29.03.2021,115.419
26.03.2021,114.781
25.03.2021,113.75
24.03.2021,112.064
23.03.2021,113.262
22.03.2021,114.979
19.03.2021,116.222
18.03.2021,114.835
17.03.2021,116.549
16.03.2021,114.019
15.03.2021,114.851
12.03.2021,114.16
11.03.2021,114.984
10.03.2021,112.776
09.03.2021,111.331
08.03.2021,110.612
05.03.2021,115.202
04.03.2021,112.69
03.03.2021,111.184
02.03.2021,111.54
01.03.2021,110.335
26.02.2021,110.035
25.02.2021,112.256
